id,sentence,condition2,condition1,v2,comma,type,condition,grammaticality,writer,Group
1003,The beach cleanup organized by volunteers was reported in the news headline.,filler,filler,filler,filler,filler,no_wh,1,Carmen,filler
1008,The founder of the chain coffee shop decided to launch pastries and tea sections for the shop.,filler,filler,filler,filler,filler,coordinate,1,Carmen,filler
1024,"The blueprint the architect had drawn up was beautiful, but impossible for anyone to actually construct.",filler,filler,filler,filler,filler,1_embed,1,Will,filler
1026,"The bag was torn apart by the groceries, which the cashier had decided weren't heavy enough to break anything.",filler,filler,filler,filler,filler,r_branch,1,Will,filler
1032,The kid was taught by the chef to put some ice into the dough to make it tender.,filler,filler,filler,filler,filler,r_branch,1,Matthew,filler
1035,"The little beaver appeared to be chewing on the oak tree, despite the fact that there was an apple nearby.",filler,filler,filler,filler,filler,r_branch,1,Matthew,filler
1037,Eric went to bed earlier than usual to prevent himself from falling asleep during tomorrow's interview.,filler,filler,filler,filler,filler,r_branch,1,Matthew,filler
1038,The singer who is renowned for her emotional lyrics released a surprise studio album days before Christmas.,filler,filler,filler,filler,filler,1_embed,1,Matthew,filler
1042,"During Thanksgiving, father made a finely roasted turkey, mother made a series of stews, and the children prepared a nice cake.",filler,filler,filler,filler,filler,conjunction,1,Matthew,filler
1044,"The pediatrician told the parents of the girl, who was ill, which medicine to give her.",filler,filler,filler,filler,filler,1_embed,1,Tessa,filler
1045,The elderly notary who taught herself to use the new software received a lottery ticket for her birthday.,filler,filler,filler,filler,filler,1_embed,1,Tessa,filler
1049,The girl who likes to bake cakes which look painted sold them at the bake sale.,filler,filler,filler,filler,filler,r_branch,1,Tessa,filler
1052,"The drawer of the desk, which the economist bought last month, started to get stuck when he went back to work.",filler,filler,filler,filler,filler,1_embed,1,Tessa,filler
1063,The artist who taught himself to paint became well-known for his unique style.,filler,filler,filler,filler,filler,1_embed,1,Danni,filler
1064,The boy found a treasure chest that was buried under the sand by the shore.,filler,filler,filler,filler,filler,r_branch,1,Danni,filler
1065,The organizer who helped put on the event will go to another city to host a conference next month.,filler,filler,filler,filler,filler,r_branch,1,Danni,filler
1068,"The scientist challenged himself to solve the complex puzzle, which had stumped others for years.",filler,filler,filler,filler,filler,r_branch,1,Danni,filler
1069,The author motivated herself to finish the manuscript that she had been working on for months.,filler,filler,filler,filler,filler,r_branch,1,Danni,filler
1072,The chef who trained in Paris prepared a gourmet meal that delighted everyone at the event.,filler,filler,filler,filler,filler,1_embed,1,Hande,filler
1073,The scientist who specialized in marine biology led a research project that fascinated everyone at the conference.,filler,filler,filler,filler,filler,1_embed,1,Hande,filler
1074,The mountain which was covered in snow year-round stood majestically over the small village below.,filler,filler,filler,filler,filler,1_embed,1,Hande,filler
