id,writer,condition1,sentence,condition2,Group,type
1,As a group,N,"When it comes to Milo's friends, no event is too inconvenient to skip.",Y,A,exp-q
1,As a group,Y,"when is comes to Milo's friends, all events are too inconvenient to skip.",Y,B,exp-q
1,As a group,N,No event is too inconvenient to skip,N,C,exp-q
1,As a group,Y,"All events are too inconvenient to skip ",N,D,exp-q
2,As a group,N,Harry believes that no advice is too stupid to doubt.,Y,B,exp-q
2,As a group,Y,Harry believes that all advice is too stupid to doubt.,Y,C,exp-q
2,As a group,N,No advice is too stupid to doubt.,N,D,exp-q
2,As a group,Y,All advice is too stupid to doubt.,N,A,exp-q
3,As a group,N,"In Kelly's opinion, no player is too slow to lose.",Y,C,exp-q
3,As a group,Y,"In Kelly's opinion, all players is too slow to lose.",Y,D,exp-q
3,As a group,N,No player is too slow to lose,N,A,exp-q
3,As a group,Y,All players are too slow to lose,N,B,exp-q
4,As a group,N,"In Margarie's kitchen, no spoon is too dirty to use.",Y,D,exp-q
4,As a group,Y,"In Margarie's kitchen, all spoons are too dirty to use.",Y,A,exp-q
4,As a group,N,No spoon is too dirty to use,N,B,exp-q
4,As a group,Y,All spoons are too dirty to use,N,C,exp-q
5,As a group,N,"According to my mother, no stranger is too kind to trust.",Y,A,exp-q
5,As a group,Y,"According to my mother, all strangers are too kind to trust.",Y,B,exp-q
5,As a group,N,No stranger is too kind to trust.,N,C,exp-q
5,As a group,Y,"All strangers are too kind to trust. ",N,D,exp-q
6,As a group,N,"According to the judge, no social program is too wasteful to oppose.",Y,B,exp-q
6,As a group,Y,"According to the judge, all social programs are too wasteful to oppose.",Y,C,exp-q
6,As a group,N,No social program is too wasteful to oppose.,N,D,exp-q
6,As a group,Y,"All social programs are too wasteful to oppose. ",N,A,exp-q
7,As a group,N,"For Joe, no friend is too easy to forget.",Y,C,exp-q
7,As a group,Y,"For Joe, all friends are too eays to forget.",Y,D,exp-q
7,As a group,N,"No friends is too easy to forget. ",N,A,exp-q
7,As a group,Y,"All friends are too easy to forget. ",N,B,exp-q
8,As a group,N,"When Ryan inspects the carpets, no stain is too subtle to miss.",Y,D,exp-q
8,As a group,Y,"When Ryan inspects the carpets, all stains are too subtle to miss.",Y,A,exp-q
8,As a group,N,No stain is too subtle to miss.,N,B,exp-q
8,As a group,Y,All stains are too subtle to miss.,N,C,exp-q
9,As a group,N,"For someone like Josh, no fish is too small to catch.",Y,A,exp-q
9,As a group,Y,"For someone like Josh, every fish is too small to catch.",Y,B,exp-q
9,As a group,N,No fish is too small to catch.,N,C,exp-q
9,As a group,Y,Every fish is too small to catch.,N,D,exp-q
10,As a group,N,"When looking at data, no anomaly is too significant to overlook.",Y,B,exp-q
10,As a group,Y,"When looking at data, all anomalies are too significant to overlook.",Y,C,exp-q
10,As a group,N,No anomaly is too significant to overlook.,N,D,exp-q
10,As a group,Y,"All anomalies are too significant to overlook. ",N,A,exp-q
11,As a group,N,"When it is cold out, no child is too small to freeze.",Y,C,exp-q
11,As a group,Y,"When it is cold out, every child is too small to freeze.",Y,D,exp-q
11,As a group,N,No child is too small to freeze.,N,A,exp-q
11,As a group,Y,Every child is too small to freeze.,N,B,exp-q
12,,N,"For the editor, no mistake is to small to ignore",Y,D,exp-q
12,,Y,"For the editor, all mistakes are too small to ignore",Y,A,exp-q
12,,N,No mistake is too small to ignore,N,B,exp-q
12,,Y,All mistakes are too small to ignore,N,C,exp-q
13,,N,"In the precinct, no criminal is too sneaky to be caught.",Y,A,exp-q
13,,Y,"In the precinct, all criminals are too sneaky to be caught.",Y,B,exp-q
13,,N,No criminal is too sneaky to be caught.,N,C,exp-q
13,,Y,All criminals are too sneaky to be caught.,N,D,exp-q
14,,N,"When eating breakfast, no protein is too nutritious to enjoy.",Y,B,exp-q
14,,Y,"When eating breakfast, all proteins are too nutritious to enjoy.",Y,C,exp-q
14,,N,No protein is too nutritious to enjoy.,N,D,exp-q
14,,Y,All proteins are too nutritious to enjoy.,N,A,exp-q
15,,N,"According to Macy, no purchase is too frivolous to make.",Y,C,exp-q
15,,Y,"According to Macy, all purchases are too frivolous to make.",Y,D,exp-q
15,,N,No purchase is too frivolous to make.,N,A,exp-q
15,,Y,All purchases are too frivolous to make.,N,B,exp-q
16,,N,"In Boise, no potato is too big to harvest.",Y,D,exp-q
16,,Y,"In Boise, all potatoes are too big to harvest.",Y,A,exp-q
16,,N,No potato is too big to harvest.,N,B,exp-q
16,,Y,All potatoes are too big to harvest.,N,C,exp-q
